"Item";"CCODCON";"CDESCON";"LGRPCON";"LTERCON";"LOTRMON";"CNATCON";"LLIGCRE";"LLIGTES";"LCENCUS";"LIVA";"LCTRIMP";"CSTRCON";"CCODIVA";"NTIPCRE";"CNATSAL";"COPER";"CTIME";"DDATE"
1;"1";"MEIOS MONETARIOS";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
2;"11";"CAIXA";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
3;"12";"DEPOSITO A ORDEM";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
4;"13";"DEPOSITO A PRAZO";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
5;"14";"OUTROS DEPOSITOS BANCARIOS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
6;"15";"INSTRUMENTOS FINANCEIROS";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
7;"151";"DERIVADOS";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
8;"1511";"POTENCIALMENTE FAVORAVEL";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
9;"1512";"POTENCIALMENTE DESFAVORAVEL";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
10;"152";"INSTRUMENTOS FINANCEIROS DETIDOS PARA NEGOCIACAO";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
11;"1521";"ACTIVOS FINANCEIROS";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
12;"1522";"PASSIVOS FINANCEIROS";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
13;"153";"OUTROS ACTIVOS E PASSIVOS FINANCEIROS";"True";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
14;"1531";"OUTROS ACTIVOS FINANCEIROS";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
